A|A1|44
S|LUREN|048025833|0003913889|DJL30|047620278|0004556389|133|133|3553
S|DJL30|047620278|0004556389|DJL|047270778|0005097333|133|133|3036
S|DJL|047270778|0005097333|LISMO|046870556|0005778056|133|130|3675
S|LISMO|046870556|0005778056|SIROD|046726945|0006019444|130|130|1314
S|SIROD|046726945|0006019444|DINOX|046666667|0006119722|130|130|549
S|DINOX|046666667|0006119722|SPR14|046623889|0006190833|130|130|389
S|SPR14|046623889|0006190833|SPR|046468695|0006448056|130|0|1412

A|A1|44
S|BKK|013893556|0100596195|SELKA|014359972|0101996528|0|71|8615
S|SELKA|014359972|0101996528|PASAT|014918870|0103791264|71|72|10945
S|PASAT|014918870|0103791264|UBL|015245197|0104865917|73|72|6526
S|UBL|015245197|0104865917|BUTRA|015418278|0105596083|73|76|4351
S|BUTRA|015418278|0105596083|PAPRA|015766667|0107183333|76|77|9408
S|PAPRA|015766667|0107183333|BATEM|015931389|0107765556|77|74|3503
S|BATEM|015931389|0107765556|DAN|016052764|0108198228|75|75|2600
S|DAN|016052764|0108198228|BUNTA|016833334|0109395000|75|57|8328
S|BUNTA|016833334|0109395000|LENKO|017416667|0110300000|57|180|6259
S|LENKO|017416667|0110300000|IKELA|018661667|0112245000|57|57|13376
S|IKELA|018661667|0112245000|IDOSI|019000000|0112500000|57|180|2494
S|IDOSI|019000000|0112500000|CH|022219542|0114030056|38|25|21142
S|CH|022219542|0114030056|MAGOG|022296111|0115825000|25|89|9978
S|MAGOG|022296111|0115825000|ELATO|022333333|0117500000|89|89|9300
S|ELATO|022333333|0117500000|ANPOG|022604167|0117954445|89|61|2998
S|ANPOG|022604167|0117954445|KADLO|022955056|0118541722|61|61|3871
S|KADLO|022955056|0118541722|MKG|023595445|0119637278|61|61|7157
S|MKG|023595445|0119637278|SWORD|024002500|0120094167|61|49|3501
S|SWORD|024002500|0120094167|HLG|024559803|0120727178|50|49|4813
S|HLG|024559803|0120727178|APU|025176944|0121522222|50|53|5696
S|APU|025176944|0121522222|ANNNA|025571806|0122022167|54|53|3600
S|ANNNA|025571806|0122022167|DRAKE|025615561|0122077947|53|53|400
S|DRAKE|025615561|0122077947|AISAR|025947472|0122493222|53|53|3000
S|AISAR|025947472|0122493222|OSTAR|026331667|0123000000|53|53|3573
S|OSTAR|026331667|0123000000|BULAN|027091667|0124000000|53|53|7037
S|BULAN|027091667|0124000000|IGMON|027622128|0124720520|53|54|4987
S|IGMON|027622128|0124720520|SAPET|028637081|0126131483|54|54|9634
S|SAPET|028637081|0126131483|URUMA|028970067|0126579300|54|54|3088
S|URUMA|028970067|0126579300|AKVAS|029586997|0127464681|54|54|5931
S|AKVAS|029586997|0127464681|RUSAR|029865028|0127837142|54|54|2559
S|RUSAR|029865028|0127837142|JEDAI|030774645|0129201156|54|58|8927
S|JEDAI|030774645|0129201156|KOSHI|031288503|0129964714|58|58|4992
S|KOSHI|031288503|0129964714|KAZAN|031385036|0130111267|58|58|948
S|KAZAN|031385036|0130111267|HKC|031697222|0130582942|58|58|3054
S|HKC|031697222|0130582942|JINGU|031902725|0131048667|58|69|2676
S|JINGU|031902725|0131048667|FENIX|032141783|0131591481|70|69|3112
S|FENIX|032141783|0131591481|SUC|032755970|0132996647|70|69|8012
S|SUC|032755970|0132996647|GREEN|032898675|0133566500|70|80|2998
S|GREEN|032898675|0133566500|JAKAL|033062028|0134234275|81|80|3501
S|JAKAL|033062028|0134234275|HALON|033248769|0134997222|81|80|3993
S|HALON|033248769|0134997222|ALBAT|033364503|0135441514|81|80|2334
S|ALBAT|033364503|0135441514|KEC|033447742|0135794495|81|80|1837
S|KEC|033447742|0135794495|KARTA|033193211|0138972397|81|101|16005
S|KARTA|033193211|0138972397|HCE|033114350|0139788483|103|0|4127

A|A10|2
S|YJQ|052185278|-0128113611|MITEK|053766667|-0129846111|0|308|11366
S|MITEK|053766667|-0129846111|PR|054263333|-0130423889|307|0|3610

A|A10|2
S|PR|054263333|-0130423889|MITEK|053766667|-0129846111|0|123|3610
S|MITEK|053766667|-0129846111|YJQ|052185278|-0128113611|123|0|11366

A|A100|6
S|RIDLA|045749722|0037365000|ENILO|046174722|0038031667|0|41|3773
S|ENILO|046174722|0038031667|PILUK|046339722|0038298333|41|41|1485
S|PILUK|046339722|0038298333|BEDUS|046606389|0038731667|42|41|2401
S|BEDUS|046606389|0038731667|RND|047252083|0039813306|42|42|5886
S|RND|047252083|0039813306|RAMOG|048114722|0040118333|42|6|5320
S|RAMOG|048114722|0040118333|MIMRA|048933056|0040415000|6|0|5050

A|A100|7
S|MIMRA|048933056|0040415000|RAMOG|048114722|0040118333|0|186|5050
S|RAMOG|048114722|0040118333|RND|047252083|0039813306|186|186|5320
S|RND|047252083|0039813306|BEDUS|046606389|0038731667|186|222|5886
S|BEDUS|046606389|0038731667|PILUK|046339722|0038298333|222|222|2401
S|PILUK|046339722|0038298333|ENILO|046174722|0038031667|221|222|1485
S|ENILO|046174722|0038031667|RIDLA|045749722|0037365000|221|221|3773
S|RIDLA|045749722|0037365000|ARNAD|045350000|0036646667|221|0|3855

A|A102|1
S|UP|045927222|0047060278|BABUR|045386667|0049500000|0|99|10733

A|A102|12
S|BABUR|045386667|0049500000|UP|045927222|0047060278|0|281|10733
S|UP|045927222|0047060278|ABTON|046020556|0046771389|279|287|1328
S|ABTON|046020556|0046771389|LUGEP|046418333|0045496945|287|287|5804
S|LUGEP|046418333|0045496945|BAKAM|046943334|0043631111|287|285|8301
S|BAKAM|046943334|0043631111|SOMRO|047085556|0043099167|285|284|2337
S|SOMRO|047085556|0043099167|TUBNA|047334722|0042136389|284|284|4199
S|TUBNA|047334722|0042136389|OBETI|047465833|0041613611|284|283|2264
S|OBETI|047465833|0041613611|KA|047587778|0041115000|283|282|2149
S|KA|047587778|0041115000|ABLOG|047805556|0040376111|282|286|3257
S|ABLOG|047805556|0040376111|KL|047885278|0040100000|286|286|1210
S|KL|047885278|0040100000|DERIB|047926389|0039908334|286|280|809
