AA234|40603889|116820000|ZB
AA235|40251111|116872778|ZB
AA236|40370278|116682500|ZB
AA241|40001111|116537222|ZB
AA242|39823056|116502778|ZB
AA243|39733889|116485278|ZB
AA244|39744445|115891111|ZB
AA261|39984445|116612222|ZB
AA262|39641945|116598056|ZB
AA263|39666111|115979445|ZB
AA264|39937500|116631945|ZB
AA265|39922222|116886667|ZB
AA266|40225556|117022500|ZB
AA267|40506389|117076111|ZB
AA268|39915556|116992222|ZB
AA269|39281945|116585833|ZB
AA270|39695278|115633333|ZB
AA271|39913334|115557778|ZB
AA281|40001111|116667778|ZB
AA282|39994167|116889722|ZB
AA283|39988056|116992222|ZB
AA3|36276667|120475000|ZS
AA300|5733472|-204867|DG
AA310|-36843114|174633122|NZ
AA332|-36800711|174721467|NZ
AA400|5509239|-206683|DG
AA400|9107447|7334325|DN
AA400|24444389|54635195|OM
AA402|-17454806|-149464000|NT
AA402|24311445|54703306|OM
AA403|-37421667|174812222|NZ
AA403|24312167|54662306|OM
AA404|24362167|54750945|OM
AA405|-36926389|174900278|NZ
AA405|24345500|54804361|OM
AA406|-36871667|174877500|NZ
AA406|9473925|7449006|DN
AA406|24459056|54882472|OM
AA407|-36968334|174899445|NZ
AA407|24371500|54737806|OM
AA409|-36998306|174835800|NZ
AA410|9141883|7255717|DN
AA411|24350000|54768056|OM
AA412|9054328|7193867|DN
AA412|24364167|54780278|OM
AA413|-36994722|174848611|NZ
AA413|24329972|54796445|OM
AA414|-37010278|174883334|NZ
AA414|9130150|6773403|DN
AA414|24294028|54851000|OM
AA415|-37085556|175093056|NZ
AA415|24431445|54685667|OM
AA416|-36795278|175479722|NZ
AA416|24470195|54631028|OM
AA417|-36535000|175225000|NZ
AA417|24438056|54838611|OM
AA418|-36785556|175110278|NZ
AA418|24689445|54814167|OM
AA419|-36884722|175211389|NZ
AA419|24819722|54543889|OM
AA420|-36868611|175201667|NZ
AA420|9035589|7386467|DN
AA420|24749722|54652778|OM
AA421|-36753889|175454722|NZ
AA421|24667500|54657778|OM
AA422|-37148056|175022500|NZ
AA422|8932706|7386739|DN
AA422|24498056|54638889|OM
AA423|-36569167|174807778|NZ
AA423|24604722|54729167|OM
AA424|-36586111|174759167|NZ
AA424|24730278|54551945|OM
AA425|-36835834|175273889|NZ
AA425|24653333|54867778|OM
AA426|-36859167|175288056|NZ
AA426|24561667|54790000|OM
AA428|-36988859|174869914|NZ
AA430|8900320|7187958|DN
AA431|24522500|54525278|OM
AA432|24536667|54537222|OM
AA433|35744028|140283556|RJ
AA436|8979417|6872025|DN
AA438|9036053|6758853|DN
AA441|24615278|54603611|OM
AA442|24500556|54765278|OM
AA443|24273056|54700000|OM
AA444|24357500|54580556|OM
AA446|24536667|54891111|OM
AA447|24776111|54553611|OM
AA451|24693889|54670000|OM
AA451|36121214|140472733|RJ
AA452|24488611|54395556|OM
AA452|35805556|140791828|RJ
AA462|24421722|54667167|OM
AA464|24506722|54547278|OM
AA470|24513306|54497306|OM
AA471|24560139|54567278|OM
AA473|24543945|54514333|OM
AA474|24597667|54503278|OM
AA475|24536250|54505500|OM
AA476|24570222|54651695|OM
AA497|24597945|54418306|OM
AA499|24615639|54385111|OM
AA500|5696014|-129853|DG
AA500|9057139|7298758|DN
AA501|24515945|54566500|OM
AA502|9149717|7136886|DN
AA502|24465083|54638250|OM
AA503|-37258333|174875556|NZ
AA504|9008258|7010517|DN
AA504|24391806|54741417|OM
AA505|24373417|54767306|OM
AA506|-37095833|174309167|NZ
AA507|-37420278|174770000|NZ
AA508|24359250|54804417|OM
AA509|-37032583|174711670|NZ
AA509|24459972|54883111|OM
AA510|24518250|54603583|OM
AA511|-37065886|174725950|NZ
AA513|24350111|54800250|OM
AA514|-37122500|173893611|NZ
AA514|24305611|54860417|OM
AA515|24326389|54738639|OM
AA516|24310139|54664750|OM
AA560|24425028|54720472|OM
AA562|24442389|54670222|OM
AA564|24526667|54551361|OM
AA565|24536417|54498861|OM
AA570|24442445|54473111|OM
AA571|24578139|54592472|OM
AA572|24573722|54646139|OM
AA573|24565972|54517111|OM
AA574|24615278|54506556|OM
AA575|24557861|54507639|OM
AA576|24585833|54464111|OM
AA631|35605528|140742195|RJ
AA632|35746306|140641361|RJ
AA750|24795833|54574445|OM
AA751|24723889|54654722|OM
AA801|24450000|54427222|OM
AA804|24708056|54143889|OM
AA816|24723056|54886389|OM
AA831|24120278|54972500|OM
AA841|24236944|55070556|OM
AA901|24492222|54328750|OM
AA976|24482917|54514333|OM
AA977|24534222|54442306|OM
AA978|24610417|54622306|OM
AA979|24508472|54726195|OM
AA984|24278222|54821278|OM
AA985|24589389|54617278|OM
AA987|24527583|54614833|OM
AA988|24469695|54515972|OM
AA989|24531695|54694250|OM
AA990|24538250|54615611|OM
AA991|24366333|54886861|OM
AA996|24424889|54804139|OM
AA997|24428861|54814333|OM
AA998|24358833|54691056|OM
AA999|24352861|54683667|OM
AAAME|37770908|-122082811|K2
AAAXX|29895706|-95392472|K4
AABEE|34068056|-84214364|K7
AABER|26072778|-81330000|K7
AABEZ|44788083|-93004711|K3
AACES|35272086|-97144439|K4
AACEZ|34552778|-73996667|K7
AADAM|19826334|-75065333|MU
AADIE|39887092|-86492333|K5
AAFRE|19989167|-156057222|PH
AAG02|40880309|-73935511|K6
AAG03|40853003|-73959856|K6
AAG09|40656047|-74066389|K6
AAGEE|40027142|-104778261|K2
AAHED|42264270|-83338264|K5
AAHZZ|29730928|-95931664|K4
AAJAY|38932345|-84539631|K5
AAKAY|33634172|-84793300|K7
AAL67|56060222|9304861|EK
AAL83|56083611|8324778|EK
AALEX|33053547|-80340770|K7
AALFA|1508333|103830000|WM
AALST|40764511|-74119811|K6
AAMMO|42981495|-83821750|K5
AAMYY|51505222|171153250|PA
AANAH|44428156|-93322008|K3
AANDD|34411947|-97144939|K4
AANDY|41819733|-96059117|K3
AANET|38530770|-122497195|K2
AANNN|37596389|-77226881|K6
AANTS|38718656|-78462647|K6
AARAN|47757972|-52921992|CY
AARBY|38816603|-90673756|K3
AARCH|39093611|-89162500|K5
AARCI|33577131|-117044722|K2
AAREN|36511045|-78957847|K7
AARES|20998611|-157095000|PH
AARON|43400386|-122700992|K1
AARTA|34605914|-87273542|K7
AASON|40859859|-115621408|K2
AASUN|44907678|-93255044|K3
AATRE|21219736|-157921920|PH
AAVVA|37607461|-77396395|K6
AAYRR|46646820|-123722389|K1
AB001|9264620|39037356|HA
AB002|9087836|39180567|HA
AB003|9040833|39018847|HA
AB004|9017311|38937984|HA
AB005|8988109|38837720|HA
AB015|8967264|38766108|HA
AB016|9262908|39034819|HA
AB017|9089044|39178333|HA
AB018|9042114|39016628|HA
AB019|9018625|38935792|HA
AB020|8989467|38835570|HA
AB021|8970636|38770917|HA
AB021|51185894|14479295|ED
AB022|51171483|14403178|ED
AB023|51226525|14340761|ED
AB071|51234456|14738108|ED
AB072|51301331|14749831|ED
AB073|51163422|14763628|ED
AB430|51159436|14339786|ED
AB439|51246950|14805297|ED
AB450|51099000|14362197|ED
AB458|51143139|14714892|ED
AB459|51166989|14843006|ED
ABACA|12505678|-69943100|TN
ABADA|64265622|5298170|EN
ABADI|40755278|18641667|LI
ABADO|45655833|5293056|LF
ABADU|46903000|-2453361|LF
ABAE|-14265000|-39137167|SB
ABAGO|56291945|144238333|UH
ABAGU|52503333|-7646667|EI
ABAKA|52335000|51846667|UW
ABAKO|37183889|16666111|LI
ABAKU|51676945|19081389|EP
ABALA|16050000|4583333|DR
ABALA|66658195|23000000|ES
ABALB|-36183333|147068333|YM
ABALI|55545278|68020556|US
ABALO|32331111|-18130278|LP
ABAMA|57986639|15569611|ES
ABAMI|51425000|7280556|ED
ABAMO|42414445|69244444|UA
ABAMU|49397195|-258139|LF
ABANA|67468611|-50968334|BG
ABANI|41213333|64910000|UT
ABANO|54129167|9500000|ED
ABANU|70133317|26000000|EN
ABAPA|52010000|21194444|EP
ABAPO|3928611|-67344167|SV
ABAPO|52102778|-4803333|EG
ABAPU|-17827322|19033775|FY
ABARA|61183611|50848056|UU
ABARB|-32851781|154934692|YB
ABARI|47416389|6942500|LF
ABARO|52123333|48561667|UW
ABASA|-4947750|107261028|WI
ABASA|14978178|120488897|RP
ABASA|24439172|123252322|RO
ABASE|-5730167|-37769500|SB
ABASI|44000319|144142750|RJ
ABASO|53976111|11433889|ED
ABASS|-34583386|150943431|YM
ABATA|70000556|135668889|UE
ABATE|-14391167|-58837167|SB
ABATI|34829445|10959445|DT
ABATO|30537222|-8553056|GM
ABATU|44544725|25674753|LR
ABAVA|56676389|26543333|EV
ABAVI|51476236|-751575|EG
ABAVO|4440000|18780000|FE
ABAWA|-34850545|117556767|YM
ABAWB|-34756097|117575870|YM
ABAWC|-34738536|117689911|YM
ABAWF|-34872992|117720381|YM
ABAWH|-34974553|117823664|YM
ABAWI|-34814545|117648100|YM
ABAWM|-34931439|117792714|YM
ABAXI|66785000|15875834|EN
ABAXO|-43191117|171391461|NZ
ABB27|50537906|2177056|LF
ABBAS|33433333|37725000|OS
ABBEY|-34402961|151094789|YM
ABBEY|22269722|114923867|VH
ABBIS|11998334|-15563333|GG
ABBLA|8962114|99366500|VT
ABBOT|24151667|-94569445|MM
ABBOT|35820536|141085333|RJ
ABBOT|52016111|599445|EG
ABBRA|26380511|127925025|RO
ABBV|49490972|2028783|LF
ABCID|43039250|-79328500|CY
ABCVU|43630870|2206439|LF
ABDAB|37889167|10628611|DT
ABDAD|60202222|128721111|UE
ABDAG|69454167|125958056|UE
ABDAL|51446111|-1863334|EG
ABDAM|51514167|78285278|UA
